place_id,name,adm0name,latitude_deg,longitude_deg,population,rank_max,source
_Maragheh,Maragheh,Iran,37.420389,46.220011,151385.0,9,natural_earth_populated_places
_Bălți,Bălți,Moldova,47.759086,27.905314,151355.0,9,natural_earth_populated_places
_Suhar,Suhar,Oman,24.361973,56.734419,151349.0,9,natural_earth_populated_places
_Benguela,Benguela,Angola,-12.578264,13.407233,151226.0,9,natural_earth_populated_places
_Paterson,Paterson,United States of America,40.919995,-74.170005,151205.0,9,natural_earth_populated_places
_Guarapuava,Guarapuava,Brazil,-25.380015,-51.480021,150850.0,9,natural_earth_populated_places
_Uzhgorod,Uzhgorod,Ukraine,48.629989,22.250001,150832.0,9,natural_earth_populated_places
_Kitale,Kitale,Kenya,1.030466,34.989947,150495.0,9,natural_earth_populated_places
_Chillán,Chillán,Chile,-36.606832,-72.111291,150396.0,9,natural_earth_populated_places
_Urgentch,Urgentch,Uzbekistan,41.559981,60.640009,150110.0,9,natural_earth_populated_places
_Vryheid,Vryheid,South Africa,-27.760025,30.789996,150012.0,9,natural_earth_populated_places
_Pattani,Pattani,Thailand,6.864003,101.250001,150000.0,9,natural_earth_populated_places
_National City,National City,United States of America,32.671945,-117.098005,150000.0,9,natural_earth_populated_places
_M'sila,M'sila,Algeria,35.700003,4.545001,150000.0,9,natural_earth_populated_places
_Edinburg,Edinburg,United States of America,26.303186,-98.159962,150000.0,9,natural_earth_populated_places
_Tororo,Tororo,Uganda,0.710382,34.169997,150000.0,9,natural_earth_populated_places
_Coral Gables,Coral Gables,United States of America,25.715419,-80.291079,150000.0,9,natural_earth_populated_places
_Miaoli,Miaoli,Taiwan,24.57,120.82,150000.0,9,natural_earth_populated_places
_Yilan,Yilan,Taiwan,24.75,121.75,150000.0,9,natural_earth_populated_places
_Keren,Keren,Eritrea,15.781441,38.454351,150000.0,9,natural_earth_populated_places
_Cao Lãnh,Cao Lãnh,Vietnam,10.467,105.635998,149837.0,9,natural_earth_populated_places
