starlink_gateway,latitude_deg,longitude_deg,portfolio,nearest_argus_km
"Burbank, CA",34.2001,-118.3438,WorldPop baseline,9230.719360387331
"Burbank, CA",34.2001,-118.3438,Uniform + geopolitical constraint,1622.5159054599508
"Burbank, CA",34.2001,-118.3438,WorldPop + geopolitical constraint,1622.5159054599508
"Butte, MT",46.0038,-112.5348,Uniform baseline,225.6400848653416
"Butte, MT",46.0038,-112.5348,WorldPop baseline,7885.397509604321
"Butte, MT",46.0038,-112.5348,Uniform + geopolitical constraint,225.6400848653416
"Butte, MT",46.0038,-112.5348,WorldPop + geopolitical constraint,225.6400848653416
"Cabo San Lucas, Mexico",22.8905,-109.9167,Uniform baseline,2798.1599582412023
"Cabo San Lucas, Mexico",22.8905,-109.9167,WorldPop baseline,9758.031927854345
"Cabo San Lucas, Mexico",22.8905,-109.9167,Uniform + geopolitical constraint,2798.1599582412023
"Cabo San Lucas, Mexico",22.8905,-109.9167,WorldPop + geopolitical constraint,1475.0739860624594
"Cal-Nev-Ari, NV",35.2987,-114.8745,Uniform baseline,1432.0945974813858
"Cal-Nev-Ari, NV",35.2987,-114.8745,WorldPop baseline,8946.94533964549
"Cal-Nev-Ari, NV",35.2987,-114.8745,Uniform + geopolitical constraint,1432.0945974813858
"Cal-Nev-Ari, NV",35.2987,-114.8745,WorldPop + geopolitical constraint,1432.0945974813858
"Calais, ME",45.1714,-67.2476,Uniform baseline,1095.414310254808
"Calais, ME",45.1714,-67.2476,WorldPop baseline,5254.80409254143
"Calais, ME",45.1714,-67.2476,Uniform + geopolitical constraint,1212.677547705293
"Calais, ME",45.1714,-67.2476,WorldPop + geopolitical constraint,704.8896327716016
"Caldera, Chile",-27.0667,-70.8167,Uniform baseline,6444.176769550582
"Caldera, Chile",-27.0667,-70.8167,WorldPop baseline,8044.232569556025
"Caldera, Chile",-27.0667,-70.8167,Uniform + geopolitical constraint,5467.55109887973
"Caldera, Chile",-27.0667,-70.8167,WorldPop + geopolitical constraint,1916.582974648805
"Calrossie, Australia",-36.45,145.3,Uniform baseline,1013.2756344796368
"Calrossie, Australia",-36.45,145.3,WorldPop baseline,7821.3480485362115
"Calrossie, Australia",-36.45,145.3,Uniform + geopolitical constraint,694.2252315939069
"Calrossie, Australia",-36.45,145.3,WorldPop + geopolitical constraint,6246.543876351385
"Calverton, NY",40.9089,-72.7976,Uniform baseline,550.2377886085443
"Calverton, NY",40.9089,-72.7976,WorldPop baseline,5859.53587107204
"Calverton, NY",40.9089,-72.7976,Uniform + geopolitical constraint,1735.610562931324
