name,latitude_deg,longitude_deg,status,excluded_zone,geopolitical_allowed_by_argus_rule
"Porto Alegre, Brazil",-30.0346,-51.2177,operational,,True
"Presidente Prudente, Brazil",-22.1257,-51.3875,operational,,True
"Prosser, WA",46.2068,-119.7687,operational,,True
"Prudhoe Bay, AK",70.2466,-148.569,operational,,True
"Puerto Montt, Chile",-41.4689,-72.9411,operational,,True
"Puerto Saavedra, Chile",-38.7833,-73.3833,operational,,True
"Punta Arenas, Chile",-53.1638,-70.9171,operational,,True
"Punta Gorda, FL",26.9298,-82.0454,operational,,True
"Puwera, NZ",-35.8,174.2333,operational,,True
"Redmond, WA",47.674,-122.1215,operational,,True
"Rio Negro, Brazil",-26.105,-49.7978,operational,,True
"Riverside, GA",33.8151,-84.4601,operational,,True
"Robbins, CA",38.875,-121.70705555555556,operational,,True
"Robertsdale, AL",30.55,-87.71,operational,,True
"Rolette County, ND",48.6604,-99.8105,operational,,True
"Rolette, ND",48.6597,-99.8406,operational,,True
"Roll, AZ",32.8128,-113.9953,operational,,True
"Saguenay, QC",48.4279,-71.0548,operational,,True
"Salem, OR",44.9453,-122.8886,operational,,True
"Salt Lake City, UT",40.5861,-111.968,operational,,True
"Sambro Creek, NS",44.4833,-63.6,operational,,True
"San Clemente, Chile",-35.5333,-71.4833,operational,,True
"San Jose, CA",37.2422,-121.7844,operational,,True
"Sanderson, TX",30.1421,-102.3949,operational,,True
"Sandston, VA",37.4901,-77.2461,operational,,True
"Santa Clara, CA",37.3992,-121.9803,operational,,True
"Santa Elena, Chile",-36.8167,-72.0167,operational,,True
"Santiago de los Caballeros, DR",19.4517,-70.697,operational,,True
"Seattle, WA",47.5832,-122.3251,operational,,True
"Secaucus, NJ",40.7855,-74.0686,operational,,True
"Shakopee, MN",44.7797,-93.4627,operational,,True
"Slope County, ND",46.45,-103.95,operational,,True
"Springbrook Creek, Australia",-24.8333,152.1167,operational,,True
"Springer, OK",34.2853,-97.1317,operational,,True
"St James, MN",44.0515,-94.5346,operational,,True
"St. John's, NL",47.5615,-52.7126,operational,,True
"Sterling, VA",38.985,-77.4239,operational,,True
"Sullivan, ME",44.5314,-68.2022,operational,,True
"Sunnyvale, CA",37.4117,-122.0217,operational,,True
"Sunset, TX",33.4486,-97.7767,operational,,True
"Surrency, GA",31.6829,-82.2697,operational,,True
"Surubim, Brazil",-7.8311,-35.7531,operational,,True
"Sussex, NJ",41.2018,-74.5263,operational,,True
"Suva, Fiji",-18.1416,178.4419,operational,,True
"Tapachula, Mexico",14.9032,-92.2577,operational,,True
"Te Hana, NZ",-36.2667,174.55,operational,,True
"Tea Gardens, Australia",-32.6667,152.15,operational,,True
"Thomaston, GA",32.9471,-84.2618,operational,,True
"Tionesta, CA",41.1811,-122.8747,operational,,True
"Toa Baja, PR",18.4441,-66.2545,operational,,True
"Toonpan, Australia",-19.2833,146.75,operational,,True
"Torrumbarry, Australia",-36.0333,144.5833,operational,,True
"Tracy City, TN",35.2595,-85.7369,operational,,True
"Tromsø, Norway",69.6496,18.956,operational,,True
"Tucson, AZ",32.1701,-110.9577,operational,,True
"Tukwila, WA",47.5089,-122.2994,operational,,True
"Tulelake, CA",41.644,-121.3293,operational,,True
"Uruguaiana, Brazil",-29.7547,-57.0883,operational,,True
"Vernon, UT",40.09,-112.43,operational,,True
"Villahermosa, Mexico",17.9893,-92.9472,operational,,True
"Villarejo de Salvanes, Spain",40.1667,-3.2667,operational,,True
Villenave d’Ornon,44.7738,-0.5595,operational,,True
